game_id,date,away_team,home_team,park,away_runs,home_runs,innings,day_night,temp,wind_dir,wind_speed,sky,precip
ANA202304070,2023/04/07,TOR,ANA,ANA01,4,3,9,night,64,tocf,6,cloudy,none
ANA202304080,2023/04/08,TOR,ANA,ANA01,5,9,9,night,63,tocf,8,sunny,none
ANA202304090,2023/04/09,TOR,ANA,ANA01,12,11,10,day,72,tocf,5,sunny,none
ANA202304100,2023/04/10,WAS,ANA,ANA01,6,4,9,night,66,tocf,6,sunny,none
ANA202304110,2023/04/11,WAS,ANA,ANA01,0,2,9,night,63,rtol,8,cloudy,none
ANA202304120,2023/04/12,WAS,ANA,ANA01,2,3,9,day,65,tocf,7,cloudy,none
ANA202304210,2023/04/21,KCA,ANA,ANA01,0,2,9,night,83,rtol,8,sunny,none
ANA202304220,2023/04/22,KCA,ANA,ANA01,11,8,9,night,77,rtol,7,cloudy,none
ANA202304230,2023/04/23,KCA,ANA,ANA01,3,4,9,day,76,tolf,9,sunny,none
ANA202304240,2023/04/24,OAK,ANA,ANA01,11,10,10,night,67,tolf,8,sunny,none
ANA202304250,2023/04/25,OAK,ANA,ANA01,3,5,9,night,65,rtol,8,cloudy,none
ANA202304260,2023/04/26,OAK,ANA,ANA01,3,11,9,night,73,tolf,7,sunny,none
ANA202304270,2023/04/27,OAK,ANA,ANA01,7,8,9,day,74,tocf,8,sunny,none
ANA202305050,2023/05/05,TEX,ANA,ANA01,4,5,10,night,65,tocf,9,cloudy,none
ANA202305060,2023/05/06,TEX,ANA,ANA01,10,1,9,night,66,rtol,10,cloudy,none
ANA202305070,2023/05/07,TEX,ANA,ANA01,16,8,9,day,70,tocf,8,cloudy,none
ANA202305080,2023/05/08,HOU,ANA,ANA01,4,6,9,night,69,tocf,8,sunny,none
ANA202305090,2023/05/09,HOU,ANA,ANA01,3,1,9,night,63,tocf,9,cloudy,none
ANA202305100,2023/05/10,HOU,ANA,ANA01,5,4,9,day,69,tolf,8,cloudy,none
ANA202305190,2023/05/19,MIN,ANA,ANA01,4,5,9,night,66,torf,7,cloudy,none
ANA202305200,2023/05/20,MIN,ANA,ANA01,6,2,9,night,67,rtol,10,cloudy,none
ANA202305210,2023/05/21,MIN,ANA,ANA01,2,4,9,day,73,rtol,6,cloudy,none
ANA202305220,2023/05/22,BOS,ANA,ANA01,1,2,9,night,68,tocf,4,sunny,none
ANA202305230,2023/05/23,BOS,ANA,ANA01,0,4,9,night,62,torf,4,overcast,none
ANA202305240,2023/05/24,BOS,ANA,ANA01,3,7,9,night,64,rtol,8,cloudy,none
ANA202305260,2023/05/26,MIA,ANA,ANA01,6,2,9,night,64,tocf,9,cloudy,none
ANA202305270,2023/05/27,MIA,ANA,ANA01,8,5,10,night,66,tocf,6,cloudy,none
ANA202305280,2023/05/28,MIA,ANA,ANA01,2,0,9,day,68,tocf,4,cloudy,none
ANA202306060,2023/06/06,CHN,ANA,ANA01,4,7,9,night,65,tocf,8,cloudy,none
ANA202306070,2023/06/07,CHN,ANA,ANA01,2,6,9,night,68,tocf,6,cloudy,none
ANA202306080,2023/06/08,CHN,ANA,ANA01,1,3,9,night,71,torf,8,sunny,none
ANA202306090,2023/06/09,SEA,ANA,ANA01,4,5,9,night,67,rtol,8,cloudy,none
ANA202306100,2023/06/10,SEA,ANA,ANA01,6,2,9,night,64,rtol,8,overcast,none
ANA202306110,2023/06/11,SEA,ANA,ANA01,4,9,9,day,69,tolf,10,cloudy,none
ANA202306200,2023/06/20,LAN,ANA,ANA01,2,0,9,night,72,tocf,7,sunny,none
ANA202306210,2023/06/21,LAN,ANA,ANA01,2,0,9,night,76,torf,8,sunny,none
ANA202306260,2023/06/26,CHA,ANA,ANA01,1,2,9,night,74,rtol,8,sunny,none
ANA202306270,2023/06/27,CHA,ANA,ANA01,2,4,9,night,73,tocf,7,sunny,none
ANA202306280,2023/06/28,CHA,ANA,ANA01,11,5,9,night,71,rtol,5,sunny,none
ANA202306290,2023/06/29,CHA,ANA,ANA01,9,7,9,day,75,tolf,8,sunny,none
ANA202306300,2023/06/30,ARI,ANA,ANA01,6,2,9,night,76,tocf,8,sunny,none
ANA202307010,2023/07/01,ARI,ANA,ANA01,3,1,9,night,69,tolf,11,sunny,none
ANA202307020,2023/07/02,ARI,ANA,ANA01,2,5,9,day,80,torf,6,sunny,none
ANA202307140,2023/07/14,HOU,ANA,ANA01,7,5,9,night,85,tocf,8,sunny,none
ANA202307150,2023/07/15,HOU,ANA,ANA01,12,13,10,night,77,torf,9,sunny,none
ANA202307160,2023/07/16,HOU,ANA,ANA01,9,8,9,day,83,tocf,8,sunny,none
ANA202307170,2023/07/17,NYA,ANA,ANA01,3,4,10,night,79,tocf,9,sunny,none
ANA202307180,2023/07/18,NYA,ANA,ANA01,1,5,9,night,82,rtol,9,sunny,none
ANA202307190,2023/07/19,NYA,ANA,ANA01,3,7,9,day,89,tocf,10,cloudy,none
ANA202307210,2023/07/21,PIT,ANA,ANA01,5,8,9,night,79,tocf,6,cloudy,none
ANA202307220,2023/07/22,PIT,ANA,ANA01,3,0,9,night,79,tocf,9,cloudy,none
ANA202307230,2023/07/23,PIT,ANA,ANA01,5,7,9,day,81,tocf,5,overcast,none
ANA202308030,2023/08/03,SEA,ANA,ANA01,5,3,9,night,79,rtol,9,sunny,none
ANA202308040,2023/08/04,SEA,ANA,ANA01,9,7,9,night,82,tocf,8,sunny,none
ANA202308050,2023/08/05,SEA,ANA,ANA01,3,2,9,night,84,rtol,8,sunny,none
ANA202308060,2023/08/06,SEA,ANA,ANA01,3,2,10,day,90,tocf,11,sunny,none
ANA202308070,2023/08/07,SFN,ANA,ANA01,8,3,9,night,78,tolf,10,sunny,none
ANA202308080,2023/08/08,SFN,ANA,ANA01,5,7,9,night,77,rtol,9,cloudy,none
ANA202308090,2023/08/09,SFN,ANA,ANA01,1,4,9,night,74,ltor,6,cloudy,none
ANA202308180,2023/08/18,TBA,ANA,ANA01,9,6,10,night,81,rtol,7,sunny,none
ANA202308191,2023/08/19,TBA,ANA,ANA01,6,7,9,day,78,tocf,14,cloudy,none
ANA202308192,2023/08/19,TBA,ANA,ANA01,18,4,9,night,76,tocf,8,cloudy,none
ANA202308220,2023/08/22,CIN,ANA,ANA01,4,3,9,night,81,rtol,9,sunny,none
ANA202308231,2023/08/23,CIN,ANA,ANA01,9,4,9,day,85,tocf,8,sunny,none
ANA202308232,2023/08/23,CIN,ANA,ANA01,7,3,9,night,76,tocf,7,sunny,none
ANA202309040,2023/09/04,BAL,ANA,ANA01,6,3,9,night,74,tocf,8,sunny,none
ANA202309050,2023/09/05,BAL,ANA,ANA01,5,4,10,night,71,rtol,7,cloudy,none
ANA202309060,2023/09/06,BAL,ANA,ANA01,10,3,9,night,77,rtol,8,sunny,none
ANA202309070,2023/09/07,CLE,ANA,ANA01,2,3,9,night,79,tocf,6,sunny,none
ANA202309080,2023/09/08,CLE,ANA,ANA01,6,3,9,night,86,rtol,8,cloudy,none
ANA202309090,2023/09/09,CLE,ANA,ANA01,2,6,9,night,87,tolf,8,cloudy,none
ANA202309100,2023/09/10,CLE,ANA,ANA01,1,2,9,day,88,rtol,4,cloudy,none
ANA202309150,2023/09/15,DET,ANA,ANA01,11,2,9,night,73,tolf,7,sunny,none
ANA202309160,2023/09/16,DET,ANA,ANA01,5,4,10,night,69,rtol,5,overcast,none
ANA202309170,2023/09/17,DET,ANA,ANA01,5,3,9,day,74,tocf,5,cloudy,none
ANA202309250,2023/09/25,TEX,ANA,ANA01,5,1,9,night,73,rtol,6,sunny,none
ANA202309260,2023/09/26,TEX,ANA,ANA01,3,9,9,night,75,tocf,5,sunny,none
ANA202309270,2023/09/27,TEX,ANA,ANA01,5,0,9,night,75,rtol,8,cloudy,none
ANA202309290,2023/09/29,OAK,ANA,ANA01,1,5,9,night,69,tocf,8,cloudy,none
ANA202309300,2023/09/30,OAK,ANA,ANA01,7,3,9,night,66,rtol,9,overcast,none
ANA202310010,2023/10/01,OAK,ANA,ANA01,3,7,9,day,65,unknown,2,overcast,none
BAL202304070,2023/04/07,NYA,BAL,BAL12,6,7,9,day,55,torf,6,overcast,none
BAL202304080,2023/04/08,NYA,BAL,BAL12,4,1,9,night,51,fromlf,7,overcast,none
BAL202304090,2023/04/09,NYA,BAL,BAL12,5,3,9,day,55,rtol,6,cloudy,none
BAL202304100,2023/04/10,OAK,BAL,BAL12,1,5,9,night,64,tolf,6,sunny,none
BAL202304110,2023/04/11,OAK,BAL,BAL12,8,12,9,night,76,torf,5,cloudy,none
BAL202304120,2023/04/12,OAK,BAL,BAL12,8,4,9,night,84,torf,14,sunny,none
BAL202304130,2023/04/13,OAK,BAL,BAL12,7,8,9,day,84,tolf,6,sunny,none
BAL202304210,2023/04/21,DET,BAL,BAL12,1,2,9,night,80,tolf,8,sunny,none
