date,rank,matchup_en,market,side_en,kind,price,raw_ev,expected,pnl
2026-08-09,1,Tampa Bay Rays @ Seattle Mariners,大小,小 7.55,小分,0.94,0.0322,0.0322,0.94
2026-08-09,2,Cleveland Guardians @ Chicago White Sox,讓球,Cleveland Guardians -0.575,讓分,0.95,-0.0023,0.0227,-1.0
2026-08-09,3,Houston Astros @ San Diego Padres,讓球,San Diego Padres -0.65,讓分,0.95,-0.0060999999999999995,0.0189,0.95
2026-08-09,4,Toronto Blue Jays @ Philadelphia Phillies,讓球,Toronto Blue Jays +1.475,受讓,0.95,0.0414,0.016399999999999998,0.9025
2026-08-09,5,Baltimore Orioles @ Texas Rangers,大小,小 8.45,小分,0.94,0.014199999999999999,0.014199999999999999,-1.0
2026-08-09,6,Tampa Bay Rays @ Seattle Mariners,讓球,Seattle Mariners -0,讓分,0.95,-0.011899999999999999,0.013000000000000001,-1.0
2026-08-09,7,Chicago Cubs @ Kansas City Royals,大小,小 10.45,小分,0.94,0.009399999999999999,0.009399999999999999,-1.0
2026-08-09,8,Toronto Blue Jays @ Philadelphia Phillies,大小,大 8.25,大分,0.94,0.0092,0.0092,0.94
2026-08-09,9,Baltimore Orioles @ Texas Rangers,讓球,Texas Rangers -0.775,讓分,0.95,-0.0161,0.0088,-1.0
2026-08-09,10,Minnesota Twins @ Milwaukee Brewers,讓球,Minnesota Twins +1.7,受讓,0.95,0.0304,0.0054,0.95
2026-08-10,1,Kansas City Royals @ Los Angeles Dodgers,讓球,Kansas City Royals +2.025,受讓,0.95,0.0333,0.0084,0.95
2026-08-10,2,Milwaukee Brewers @ San Diego Padres,大小,大 7.15,大分,0.94,0.0059,0.0059,-1.0
2026-08-10,3,Tampa Bay Rays @ Athletics,讓球,Athletics +1.475,受讓,0.95,0.022099999999999998,-0.0029,-1.0
2026-08-10,4,Philadelphia Phillies @ St. Louis Cardinals,讓球,St. Louis Cardinals -0.55,讓分,0.95,-0.028999999999999998,-0.0040999999999999995,-1.0
2026-08-10,5,Houston Astros @ San Francisco Giants,讓球,Houston Astros -1.15,讓分,0.95,-0.0349,-0.009899999999999999,0.95
2026-08-10,6,New York Mets @ Atlanta Braves,讓球,New York Mets +1.025,受讓,0.95,0.014199999999999999,-0.0108,0.95
2026-08-10,7,Boston Red Sox @ Toronto Blue Jays,讓球,Toronto Blue Jays +1.45,受讓,0.95,0.0132,-0.0118,0.95
2026-08-10,8,Colorado Rockies @ Arizona Diamondbacks,讓球,Colorado Rockies +1.2,受讓,0.95,0.0113,-0.0137,-1.0
2026-08-10,9,Colorado Rockies @ Arizona Diamondbacks,大小,小 8.65,小分,0.94,-0.0138,-0.0138,-0.7
2026-08-10,10,Houston Astros @ San Francisco Giants,大小,大 8,大分,0.94,-0.016200000000000003,-0.016200000000000003,0.94
